rubric,graph_type,model,prompt_type,verdict
Data faithfulness,Bars,grok,baseline,YES
Data faithfulness,Bars,grok,selfcheck,YES
Data faithfulness,Bars,grok,standards,YES
"Labels, units, titles & legends",Bars,grok,baseline,YES
"Labels, units, titles & legends",Bars,grok,selfcheck,YES
"Labels, units, titles & legends",Bars,grok,standards,YES
Gridlines/ticks & sizing,Bars,grok,baseline,YES
Gridlines/ticks & sizing,Bars,grok,selfcheck,YES
Gridlines/ticks & sizing,Bars,grok,standards,YES
Appropriate Data‑ink ratio,Bars,grok,baseline,YES
Appropriate Data‑ink ratio,Bars,grok,selfcheck,YES
Appropriate Data‑ink ratio,Bars,grok,standards,NO
Legend–encoding alignment,Bars,grok,baseline,
Legend–encoding alignment,Bars,grok,selfcheck,
Legend–encoding alignment,Bars,grok,standards,
Task intent adherence,Bars,grok,baseline,YES
Task intent adherence,Bars,grok,selfcheck,YES
Task intent adherence,Bars,grok,standards,YES
Holistic readability,Bars,grok,baseline,YES
Holistic readability,Bars,grok,selfcheck,YES
Holistic readability,Bars,grok,standards,YES
Code validity & reproducibility,Bars,chatgpt,baseline,YES
Code validity & reproducibility,Bars,chatgpt,selfcheck,YES
Code validity & reproducibility,Bars,chatgpt,standards,YES
Encoding choice matches task,Bars,chatgpt,baseline,YES
Encoding choice matches task,Bars,chatgpt,selfcheck,YES
Encoding choice matches task,Bars,chatgpt,standards,YES
Chart type suitability,Bars,chatgpt,baseline,YES
Chart type suitability,Bars,chatgpt,selfcheck,YES
Chart type suitability,Bars,chatgpt,standards,YES
Axis integrity,Bars,chatgpt,baseline,YES
Axis integrity,Bars,chatgpt,selfcheck,YES
Axis integrity,Bars,chatgpt,standards,YES
Scale consistency across panels,Bars,chatgpt,baseline,NO
Scale consistency across panels,Bars,chatgpt,selfcheck,YES
Scale consistency across panels,Bars,chatgpt,standards,YES
Color contrast & colorblind safety,Bars,chatgpt,baseline,YES
Color contrast & colorblind safety,Bars,chatgpt,selfcheck,YES
Color contrast & colorblind safety,Bars,chatgpt,standards,YES
Redundancy,Bars,chatgpt,baseline,YES
Redundancy,Bars,chatgpt,selfcheck,YES
Redundancy,Bars,chatgpt,standards,YES
Data faithfulness,Bars,chatgpt,baseline,YES
Data faithfulness,Bars,chatgpt,selfcheck,YES
Data faithfulness,Bars,chatgpt,standards,YES
"Labels, units, titles & legends",Bars,chatgpt,baseline,NO
"Labels, units, titles & legends",Bars,chatgpt,selfcheck,NO
"Labels, units, titles & legends",Bars,chatgpt,standards,YES
Gridlines/ticks & sizing,Bars,chatgpt,baseline,YES
Gridlines/ticks & sizing,Bars,chatgpt,selfcheck,YES
Gridlines/ticks & sizing,Bars,chatgpt,standards,YES
Appropriate Data‑ink ratio,Bars,chatgpt,baseline,NO
Appropriate Data‑ink ratio,Bars,chatgpt,selfcheck,NO
Appropriate Data‑ink ratio,Bars,chatgpt,standards,NO
Legend–encoding alignment,Bars,chatgpt,baseline,
Legend–encoding alignment,Bars,chatgpt,selfcheck,
Legend–encoding alignment,Bars,chatgpt,standards,
Task intent adherence,Bars,chatgpt,baseline,YES
Task intent adherence,Bars,chatgpt,selfcheck,YES
Task intent adherence,Bars,chatgpt,standards,YES
Holistic readability,Bars,chatgpt,baseline,YES
Holistic readability,Bars,chatgpt,selfcheck,YES
Holistic readability,Bars,chatgpt,standards,YES
Code validity & reproducibility,line gaps,gemini,baseline,YES
Code validity & reproducibility,line gaps,gemini,selfcheck,YES
Code validity & reproducibility,line gaps,gemini,standards,YES
Encoding choice matches task,line gaps,gemini,baseline,YES
Encoding choice matches task,line gaps,gemini,selfcheck,YES
Encoding choice matches task,line gaps,gemini,standards,YES
Chart type suitability,line gaps,gemini,baseline,YES
Chart type suitability,line gaps,gemini,selfcheck,YES
Chart type suitability,line gaps,gemini,standards,YES
Axis integrity,line gaps,gemini,baseline,YES
Axis integrity,line gaps,gemini,selfcheck,YES
Axis integrity,line gaps,gemini,standards,YES
Scale consistency across panels,line gaps,gemini,baseline,YES
Scale consistency across panels,line gaps,gemini,selfcheck,YES
Scale consistency across panels,line gaps,gemini,standards,NO
Color contrast & colorblind safety,line gaps,gemini,baseline,YES
Color contrast & colorblind safety,line gaps,gemini,selfcheck,YES
Color contrast & colorblind safety,line gaps,gemini,standards,YES
Redundancy,line gaps,gemini,baseline,YES
Redundancy,line gaps,gemini,selfcheck,YES
Redundancy,line gaps,gemini,standards,YES
Data faithfulness,line gaps,gemini,baseline,YES
Data faithfulness,line gaps,gemini,selfcheck,YES
Data faithfulness,line gaps,gemini,standards,YES
"Labels, units, titles & legends",line gaps,gemini,baseline,YES
"Labels, units, titles & legends",line gaps,gemini,selfcheck,YES
"Labels, units, titles & legends",line gaps,gemini,standards,YES
Gridlines/ticks & sizing,line gaps,gemini,baseline,YES
Gridlines/ticks & sizing,line gaps,gemini,selfcheck,YES
Gridlines/ticks & sizing,line gaps,gemini,standards,YES
Appropriate Data‑ink ratio,line gaps,gemini,baseline,YES
Appropriate Data‑ink ratio,line gaps,gemini,selfcheck,YES
Appropriate Data‑ink ratio,line gaps,gemini,standards,YES
Legend–encoding alignment,line gaps,gemini,baseline,
Legend–encoding alignment,line gaps,gemini,selfcheck,
Legend–encoding alignment,line gaps,gemini,standards,
Task intent adherence,line gaps,gemini,baseline,YES
Task intent adherence,line gaps,gemini,selfcheck,YES
Task intent adherence,line gaps,gemini,standards,YES
Holistic readability,line gaps,gemini,baseline,YES
Holistic readability,line gaps,gemini,selfcheck,YES
Holistic readability,line gaps,gemini,standards,YES
Code validity & reproducibility,line gaps,grok,baseline,YES
Code validity & reproducibility,line gaps,grok,selfcheck,YES
Code validity & reproducibility,line gaps,grok,standards,YES
Encoding choice matches task,line gaps,grok,baseline,YES
Encoding choice matches task,line gaps,grok,selfcheck,YES
Encoding choice matches task,line gaps,grok,standards,YES
Chart type suitability,line gaps,grok,baseline,YES
Chart type suitability,line gaps,grok,selfcheck,YES
Chart type suitability,line gaps,grok,standards,YES
Axis integrity,line gaps,grok,baseline,YES
Axis integrity,line gaps,grok,selfcheck,NO
Axis integrity,line gaps,grok,standards,NO
Scale consistency across panels,line gaps,grok,baseline,NO
Scale consistency across panels,line gaps,grok,selfcheck,NO
Scale consistency across panels,line gaps,grok,standards,YES
Color contrast & colorblind safety,line gaps,grok,baseline,YES
Color contrast & colorblind safety,line gaps,grok,selfcheck,YES
Color contrast & colorblind safety,line gaps,grok,standards,YES
Redundancy,line gaps,grok,baseline,YES
Redundancy,line gaps,grok,selfcheck,YES
Redundancy,line gaps,grok,standards,YES
Data faithfulness,line gaps,grok,baseline,YES
Data faithfulness,line gaps,grok,selfcheck,YES
Data faithfulness,line gaps,grok,standards,YES
"Labels, units, titles & legends",line gaps,grok,baseline,NO
"Labels, units, titles & legends",line gaps,grok,selfcheck,YES
"Labels, units, titles & legends",line gaps,grok,standards,YES
Gridlines/ticks & sizing,line gaps,grok,baseline,NO
Gridlines/ticks & sizing,line gaps,grok,selfcheck,NO
Gridlines/ticks & sizing,line gaps,grok,standards,YES
Appropriate Data‑ink ratio,line gaps,grok,baseline,YES
Appropriate Data‑ink ratio,line gaps,grok,selfcheck,NO
Appropriate Data‑ink ratio,line gaps,grok,standards,NO
Legend–encoding alignment,line gaps,grok,baseline,
Legend–encoding alignment,line gaps,grok,selfcheck,
Legend–encoding alignment,line gaps,grok,standards,
Task intent adherence,line gaps,grok,baseline,YES
Task intent adherence,line gaps,grok,selfcheck,YES
Task intent adherence,line gaps,grok,standards,YES
Holistic readability,line gaps,grok,baseline,YES
Holistic readability,line gaps,grok,selfcheck,YES
Holistic readability,line gaps,grok,standards,YES
Code validity & reproducibility,line gaps,chatgpt,baseline,YES
Code validity & reproducibility,line gaps,chatgpt,selfcheck,YES
Code validity & reproducibility,line gaps,chatgpt,standards,YES
Encoding choice matches task,line gaps,chatgpt,baseline,YES
Encoding choice matches task,line gaps,chatgpt,selfcheck,YES
Encoding choice matches task,line gaps,chatgpt,standards,YES
Chart type suitability,line gaps,chatgpt,baseline,NO
Chart type suitability,line gaps,chatgpt,selfcheck,NO
Chart type suitability,line gaps,chatgpt,standards,NO
Axis integrity,line gaps,chatgpt,baseline,NO
Axis integrity,line gaps,chatgpt,selfcheck,NO
Axis integrity,line gaps,chatgpt,standards,NO
Scale consistency across panels,line gaps,chatgpt,baseline,YES
Scale consistency across panels,line gaps,chatgpt,selfcheck,YES
Scale consistency across panels,line gaps,chatgpt,standards,YES
Color contrast & colorblind safety,line gaps,chatgpt,baseline,YES
Color contrast & colorblind safety,line gaps,chatgpt,selfcheck,YES
Color contrast & colorblind safety,line gaps,chatgpt,standards,YES
Redundancy,line gaps,chatgpt,baseline,NO
Redundancy,line gaps,chatgpt,selfcheck,YES
Redundancy,line gaps,chatgpt,standards,NO
Data faithfulness,line gaps,chatgpt,baseline,YES
Data faithfulness,line gaps,chatgpt,selfcheck,YES
Data faithfulness,line gaps,chatgpt,standards,YES
"Labels, units, titles & legends",line gaps,chatgpt,baseline,YES
"Labels, units, titles & legends",line gaps,chatgpt,selfcheck,NO
"Labels, units, titles & legends",line gaps,chatgpt,standards,YES
Gridlines/ticks & sizing,line gaps,chatgpt,baseline,YES
Gridlines/ticks & sizing,line gaps,chatgpt,selfcheck,YES
Gridlines/ticks & sizing,line gaps,chatgpt,standards,YES
Appropriate Data‑ink ratio,line gaps,chatgpt,baseline,YES
Appropriate Data‑ink ratio,line gaps,chatgpt,selfcheck,YES
Appropriate Data‑ink ratio,line gaps,chatgpt,standards,NO
Legend–encoding alignment,line gaps,chatgpt,baseline,
Legend–encoding alignment,line gaps,chatgpt,selfcheck,
Legend–encoding alignment,line gaps,chatgpt,standards,
Task intent adherence,line gaps,chatgpt,baseline,NO
Task intent adherence,line gaps,chatgpt,selfcheck,NO
Task intent adherence,line gaps,chatgpt,standards,NO
Holistic readability,line gaps,chatgpt,baseline,YES
Holistic readability,line gaps,chatgpt,selfcheck,YES
Holistic readability,line gaps,chatgpt,standards,YES
Code validity & reproducibility,scatter group,gemini,baseline,YES
Code validity & reproducibility,scatter group,gemini,selfcheck,YES
Code validity & reproducibility,scatter group,gemini,standards,YES
Encoding choice matches task,scatter group,gemini,baseline,YES
Encoding choice matches task,scatter group,gemini,selfcheck,YES
Encoding choice matches task,scatter group,gemini,standards,YES
Chart type suitability,scatter group,gemini,baseline,YES
Chart type suitability,scatter group,gemini,selfcheck,YES
Chart type suitability,scatter group,gemini,standards,YES
Axis integrity,scatter group,gemini,baseline,NO
Axis integrity,scatter group,gemini,selfcheck,NO
Axis integrity,scatter group,gemini,standards,NO
Scale consistency across panels,scatter group,gemini,baseline,YES
Scale consistency across panels,scatter group,gemini,selfcheck,NO
Scale consistency across panels,scatter group,gemini,standards,YES
Color contrast & colorblind safety,scatter group,gemini,baseline,YES
Color contrast & colorblind safety,scatter group,gemini,selfcheck,YES
Color contrast & colorblind safety,scatter group,gemini,standards,YES
Redundancy,scatter group,gemini,baseline,NO
Redundancy,scatter group,gemini,selfcheck,NO
Redundancy,scatter group,gemini,standards,NO
Data faithfulness,scatter group,gemini,baseline,YES
Data faithfulness,scatter group,gemini,selfcheck,YES
Data faithfulness,scatter group,gemini,standards,YES
"Labels, units, titles & legends",scatter group,gemini,baseline,YES
"Labels, units, titles & legends",scatter group,gemini,selfcheck,YES
"Labels, units, titles & legends",scatter group,gemini,standards,YES
Gridlines/ticks & sizing,scatter group,gemini,baseline,YES
Gridlines/ticks & sizing,scatter group,gemini,selfcheck,YES
Gridlines/ticks & sizing,scatter group,gemini,standards,YES
Appropriate Data‑ink ratio,scatter group,gemini,baseline,YES
Appropriate Data‑ink ratio,scatter group,gemini,selfcheck,YES
Appropriate Data‑ink ratio,scatter group,gemini,standards,YES
Legend–encoding alignment,scatter group,gemini,baseline,YES
Legend–encoding alignment,scatter group,gemini,selfcheck,YES
Legend–encoding alignment,scatter group,gemini,standards,YES
Task intent adherence,scatter group,gemini,baseline,YES
Task intent adherence,scatter group,gemini,selfcheck,YES
Task intent adherence,scatter group,gemini,standards,YES
Holistic readability,scatter group,gemini,baseline,YES
Holistic readability,scatter group,gemini,selfcheck,YES
Holistic readability,scatter group,gemini,standards,YES
Code validity & reproducibility,scatter group,grok,baseline,YES
Code validity & reproducibility,scatter group,grok,selfcheck,YES
Code validity & reproducibility,scatter group,grok,standards,YES
Encoding choice matches task,scatter group,grok,baseline,YES
Encoding choice matches task,scatter group,grok,selfcheck,YES
Encoding choice matches task,scatter group,grok,standards,YES
Chart type suitability,scatter group,grok,baseline,YES
Chart type suitability,scatter group,grok,selfcheck,YES
Chart type suitability,scatter group,grok,standards,YES
Axis integrity,scatter group,grok,baseline,NO
Axis integrity,scatter group,grok,selfcheck,NO
Axis integrity,scatter group,grok,standards,NO
Scale consistency across panels,scatter group,grok,baseline,YES
Scale consistency across panels,scatter group,grok,selfcheck,YES
Scale consistency across panels,scatter group,grok,standards,YES
Color contrast & colorblind safety,scatter group,grok,baseline,YES
Color contrast & colorblind safety,scatter group,grok,selfcheck,YES
Color contrast & colorblind safety,scatter group,grok,standards,YES
Redundancy,scatter group,grok,baseline,NO
Redundancy,scatter group,grok,selfcheck,NO
Redundancy,scatter group,grok,standards,NO
Data faithfulness,scatter group,grok,baseline,YES
Data faithfulness,scatter group,grok,selfcheck,YES
Data faithfulness,scatter group,grok,standards,YES
"Labels, units, titles & legends",scatter group,grok,baseline,NO
"Labels, units, titles & legends",scatter group,grok,selfcheck,YES
"Labels, units, titles & legends",scatter group,grok,standards,YES
Gridlines/ticks & sizing,scatter group,grok,baseline,YES
Gridlines/ticks & sizing,scatter group,grok,selfcheck,YES
Gridlines/ticks & sizing,scatter group,grok,standards,YES
Appropriate Data‑ink ratio,scatter group,grok,baseline,YES
Appropriate Data‑ink ratio,scatter group,grok,selfcheck,YES
Appropriate Data‑ink ratio,scatter group,grok,standards,YES
Legend–encoding alignment,scatter group,grok,baseline,YES
Legend–encoding alignment,scatter group,grok,selfcheck,YES
Legend–encoding alignment,scatter group,grok,standards,YES
Task intent adherence,scatter group,grok,baseline,YES
Task intent adherence,scatter group,grok,selfcheck,YES
Task intent adherence,scatter group,grok,standards,YES
Holistic readability,scatter group,grok,baseline,YES
Holistic readability,scatter group,grok,selfcheck,YES
Holistic readability,scatter group,grok,standards,YES
Code validity & reproducibility,scatter group,chatgpt,baseline,YES
Code validity & reproducibility,scatter group,chatgpt,selfcheck,YES
Code validity & reproducibility,scatter group,chatgpt,standards,YES
Encoding choice matches task,scatter group,chatgpt,baseline,YES
Encoding choice matches task,scatter group,chatgpt,selfcheck,YES
Encoding choice matches task,scatter group,chatgpt,standards,YES
Chart type suitability,scatter group,chatgpt,baseline,YES
Chart type suitability,scatter group,chatgpt,selfcheck,YES
Chart type suitability,scatter group,chatgpt,standards,YES
Axis integrity,scatter group,chatgpt,baseline,NO
Axis integrity,scatter group,chatgpt,selfcheck,NO
Axis integrity,scatter group,chatgpt,standards,NO
Scale consistency across panels,scatter group,chatgpt,baseline,YES
Scale consistency across panels,scatter group,chatgpt,selfcheck,NO
Scale consistency across panels,scatter group,chatgpt,standards,YES
Color contrast & colorblind safety,scatter group,chatgpt,baseline,NO
Color contrast & colorblind safety,scatter group,chatgpt,selfcheck,YES
Color contrast & colorblind safety,scatter group,chatgpt,standards,YES
Redundancy,scatter group,chatgpt,baseline,NO
Redundancy,scatter group,chatgpt,selfcheck,YES
Redundancy,scatter group,chatgpt,standards,NO
Data faithfulness,scatter group,chatgpt,baseline,YES
Data faithfulness,scatter group,chatgpt,selfcheck,YES
Data faithfulness,scatter group,chatgpt,standards,YES
"Labels, units, titles & legends",scatter group,chatgpt,baseline,NO
"Labels, units, titles & legends",scatter group,chatgpt,selfcheck,YES
"Labels, units, titles & legends",scatter group,chatgpt,standards,NO
Gridlines/ticks & sizing,scatter group,chatgpt,baseline,YES
Gridlines/ticks & sizing,scatter group,chatgpt,selfcheck,YES
Gridlines/ticks & sizing,scatter group,chatgpt,standards,YES
Appropriate Data‑ink ratio,scatter group,chatgpt,baseline,YES
Appropriate Data‑ink ratio,scatter group,chatgpt,selfcheck,YES
Appropriate Data‑ink ratio,scatter group,chatgpt,standards,YES
Legend–encoding alignment,scatter group,chatgpt,baseline,YES
Legend–encoding alignment,scatter group,chatgpt,selfcheck,YES
Legend–encoding alignment,scatter group,chatgpt,standards,YES
Task intent adherence,scatter group,chatgpt,baseline,YES
Task intent adherence,scatter group,chatgpt,selfcheck,YES
Task intent adherence,scatter group,chatgpt,standards,YES
Holistic readability,scatter group,chatgpt,baseline,YES
Holistic readability,scatter group,chatgpt,selfcheck,YES
Holistic readability,scatter group,chatgpt,standards,YES
Code validity & reproducibility,heatmap,gemini,baseline,YES
Code validity & reproducibility,heatmap,gemini,selfcheck,NO
Code validity & reproducibility,heatmap,gemini,standards,YES
Encoding choice matches task,heatmap,gemini,baseline,YES
Encoding choice matches task,heatmap,gemini,selfcheck,
Encoding choice matches task,heatmap,gemini,standards,YES
Chart type suitability,heatmap,gemini,baseline,YES
Chart type suitability,heatmap,gemini,selfcheck,NO
Chart type suitability,heatmap,gemini,standards,YES
Axis integrity,heatmap,gemini,baseline,NO
Axis integrity,heatmap,gemini,selfcheck,YES
Axis integrity,heatmap,gemini,standards,YES
Scale consistency across panels,heatmap,gemini,baseline,YES
Scale consistency across panels,heatmap,gemini,selfcheck,YES
Scale consistency across panels,heatmap,gemini,standards,YES
Color contrast & colorblind safety,heatmap,gemini,baseline,NO
Color contrast & colorblind safety,heatmap,gemini,selfcheck,
Color contrast & colorblind safety,heatmap,gemini,standards,NO
Redundancy,heatmap,gemini,baseline,YES
Redundancy,heatmap,gemini,selfcheck,
Redundancy,heatmap,gemini,standards,YES
Data faithfulness,heatmap,gemini,baseline,YES
Data faithfulness,heatmap,gemini,selfcheck,
Data faithfulness,heatmap,gemini,standards,YES
"Labels, units, titles & legends",heatmap,gemini,baseline,YES
"Labels, units, titles & legends",heatmap,gemini,selfcheck,NO
"Labels, units, titles & legends",heatmap,gemini,standards,NO
Gridlines/ticks & sizing,heatmap,gemini,baseline,YES
Gridlines/ticks & sizing,heatmap,gemini,selfcheck,YES
Gridlines/ticks & sizing,heatmap,gemini,standards,YES
Appropriate Data‑ink ratio,heatmap,gemini,baseline,NO
Appropriate Data‑ink ratio,heatmap,gemini,selfcheck,NO
Appropriate Data‑ink ratio,heatmap,gemini,standards,NO
Legend–encoding alignment,heatmap,gemini,baseline,YES
Legend–encoding alignment,heatmap,gemini,selfcheck,
Legend–encoding alignment,heatmap,gemini,standards,YES
Task intent adherence,heatmap,gemini,baseline,YES
Task intent adherence,heatmap,gemini,selfcheck,NO
Task intent adherence,heatmap,gemini,standards,YES
Holistic readability,heatmap,gemini,baseline,YES
Holistic readability,heatmap,gemini,selfcheck,NO
Holistic readability,heatmap,gemini,standards,YES
Code validity & reproducibility,heatmap,grok,baseline,YES
Code validity & reproducibility,heatmap,grok,selfcheck,YES
Code validity & reproducibility,heatmap,grok,standards,YES
Encoding choice matches task,heatmap,grok,baseline,YES
Encoding choice matches task,heatmap,grok,selfcheck,YES
Encoding choice matches task,heatmap,grok,standards,YES
Chart type suitability,heatmap,grok,baseline,YES
Chart type suitability,heatmap,grok,selfcheck,YES
Chart type suitability,heatmap,grok,standards,YES
Axis integrity,heatmap,grok,baseline,NO
Axis integrity,heatmap,grok,selfcheck,NO
Axis integrity,heatmap,grok,standards,NO
Scale consistency across panels,heatmap,grok,baseline,YES
Scale consistency across panels,heatmap,grok,selfcheck,YES
Scale consistency across panels,heatmap,grok,standards,YES
Color contrast & colorblind safety,heatmap,grok,baseline,NO
Color contrast & colorblind safety,heatmap,grok,selfcheck,NO
Color contrast & colorblind safety,heatmap,grok,standards,NO
Redundancy,heatmap,grok,baseline,YES
Redundancy,heatmap,grok,selfcheck,YES
Redundancy,heatmap,grok,standards,YES
Data faithfulness,heatmap,grok,baseline,NO
Data faithfulness,heatmap,grok,selfcheck,YES
Data faithfulness,heatmap,grok,standards,NO
"Labels, units, titles & legends",heatmap,grok,baseline,YES
"Labels, units, titles & legends",heatmap,grok,selfcheck,YES
"Labels, units, titles & legends",heatmap,grok,standards,YES
Gridlines/ticks & sizing,heatmap,grok,baseline,YES
Gridlines/ticks & sizing,heatmap,grok,selfcheck,NO
Gridlines/ticks & sizing,heatmap,grok,standards,YES
Appropriate Data‑ink ratio,heatmap,grok,baseline,NO
Appropriate Data‑ink ratio,heatmap,grok,selfcheck,YES
Appropriate Data‑ink ratio,heatmap,grok,standards,NO
Legend–encoding alignment,heatmap,grok,baseline,YES
Legend–encoding alignment,heatmap,grok,selfcheck,YES
Legend–encoding alignment,heatmap,grok,standards,YES
Task intent adherence,heatmap,grok,baseline,YES
Task intent adherence,heatmap,grok,selfcheck,YES
Task intent adherence,heatmap,grok,standards,YES
Holistic readability,heatmap,grok,baseline,YES
Holistic readability,heatmap,grok,selfcheck,YES
Holistic readability,heatmap,grok,standards,YES
Code validity & reproducibility,heatmap,chatgpt,baseline,YES
Code validity & reproducibility,heatmap,chatgpt,selfcheck,YES
Code validity & reproducibility,heatmap,chatgpt,standards,YES
Encoding choice matches task,heatmap,chatgpt,baseline,YES
Encoding choice matches task,heatmap,chatgpt,selfcheck,YES
Encoding choice matches task,heatmap,chatgpt,standards,YES
Chart type suitability,heatmap,chatgpt,baseline,YES
Chart type suitability,heatmap,chatgpt,selfcheck,YES
Chart type suitability,heatmap,chatgpt,standards,YES
Axis integrity,heatmap,chatgpt,baseline,NO
Axis integrity,heatmap,chatgpt,selfcheck,NO
Axis integrity,heatmap,chatgpt,standards,NO
Scale consistency across panels,heatmap,chatgpt,baseline,YES
Scale consistency across panels,heatmap,chatgpt,selfcheck,YES
Scale consistency across panels,heatmap,chatgpt,standards,YES
Color contrast & colorblind safety,heatmap,chatgpt,baseline,YES
Color contrast & colorblind safety,heatmap,chatgpt,selfcheck,YES
Color contrast & colorblind safety,heatmap,chatgpt,standards,YES
Redundancy,heatmap,chatgpt,baseline,NO
Redundancy,heatmap,chatgpt,selfcheck,NO
Redundancy,heatmap,chatgpt,standards,NO
Data faithfulness,heatmap,chatgpt,baseline,YES
Data faithfulness,heatmap,chatgpt,selfcheck,YES
Data faithfulness,heatmap,chatgpt,standards,YES
"Labels, units, titles & legends",heatmap,chatgpt,baseline,NO
"Labels, units, titles & legends",heatmap,chatgpt,selfcheck,NO
"Labels, units, titles & legends",heatmap,chatgpt,standards,NO
Gridlines/ticks & sizing,heatmap,chatgpt,baseline,YES
Gridlines/ticks & sizing,heatmap,chatgpt,selfcheck,NO
Gridlines/ticks & sizing,heatmap,chatgpt,standards,YES
Appropriate Data‑ink ratio,heatmap,chatgpt,baseline,NO
Appropriate Data‑ink ratio,heatmap,chatgpt,selfcheck,NO
Appropriate Data‑ink ratio,heatmap,chatgpt,standards,NO
Legend–encoding alignment,heatmap,chatgpt,baseline,YES
Legend–encoding alignment,heatmap,chatgpt,selfcheck,YES
Legend–encoding alignment,heatmap,chatgpt,standards,YES
Task intent adherence,heatmap,chatgpt,baseline,YES
Task intent adherence,heatmap,chatgpt,selfcheck,YES
Task intent adherence,heatmap,chatgpt,standards,YES
Holistic readability,heatmap,chatgpt,baseline,YES
Holistic readability,heatmap,chatgpt,selfcheck,YES
Holistic readability,heatmap,chatgpt,standards,YES
Code validity & reproducibility,small multi,gemini,baseline,YES
Code validity & reproducibility,small multi,gemini,selfcheck,YES
Code validity & reproducibility,small multi,gemini,standards,YES
Encoding choice matches task,small multi,gemini,baseline,YES
Encoding choice matches task,small multi,gemini,selfcheck,YES
Encoding choice matches task,small multi,gemini,standards,YES
Chart type suitability,small multi,gemini,baseline,YES
Chart type suitability,small multi,gemini,selfcheck,YES
Chart type suitability,small multi,gemini,standards,YES
Axis integrity,small multi,gemini,baseline,NO
Axis integrity,small multi,gemini,selfcheck,NO
Axis integrity,small multi,gemini,standards,NO
Scale consistency across panels,small multi,gemini,baseline,NO
Scale consistency across panels,small multi,gemini,selfcheck,YES
Scale consistency across panels,small multi,gemini,standards,NO
Color contrast & colorblind safety,small multi,gemini,baseline,YES
Color contrast & colorblind safety,small multi,gemini,selfcheck,NO
Color contrast & colorblind safety,small multi,gemini,standards,YES
Redundancy,small multi,gemini,baseline,NO
Redundancy,small multi,gemini,selfcheck,NO
Redundancy,small multi,gemini,standards,NO
Data faithfulness,small multi,gemini,baseline,YES
Data faithfulness,small multi,gemini,selfcheck,YES
Data faithfulness,small multi,gemini,standards,YES
"Labels, units, titles & legends",small multi,gemini,baseline,NO
"Labels, units, titles & legends",small multi,gemini,selfcheck,YES
